Model name,XAI method,Model type,Metric name,Metric value,Image,Image class,Prediction
ResNet18,GradCAM,Flow,Deletion,0.824062188854441,51,River,True
ResNet18,GradCAM,Flow,Deletion,0.9811363909393549,52,River,True
ResNet18,GradCAM,Flow,Deletion,0.945751846767962,53,River,True
ResNet18,GradCAM,Flow,Deletion,0.9116748343221843,54,River,True
ResNet18,GradCAM,Flow,Deletion,0.8918242729268968,55,River,True
ResNet18,GradCAM,Flow,Deletion,0.9765838091261685,56,River,True
ResNet18,GradCAM,Flow,Deletion,0.9498119023628533,57,River,True
ResNet18,GradCAM,Flow,Deletion,0.919206106569618,58,River,True
ResNet18,GradCAM,Flow,Deletion,0.9598781219683588,59,River,True
ResNet18,GradCAM,Flow,Deletion,0.9408157672733068,60,River,True
ResNet18,GradCAM,Flow,Deletion,0.8151586470194161,61,River,True
ResNet18,GradCAM,Flow,Deletion,0.9850758300162852,62,River,True
ResNet18,GradCAM,Flow,Deletion,0.9710809057578444,63,River,True
ResNet18,GradCAM,Flow,Deletion,0.9561257134191692,64,River,True
ResNet18,GradCAM,Flow,Deletion,0.975848076865077,65,River,True
ResNet18,GradCAM,Flow,Deletion,0.9493732480332255,66,River,True
ResNet18,GradCAM,Flow,Deletion,0.957107131369412,67,River,True
ResNet18,GradCAM,Flow,Deletion,0.9962419266812503,68,River,True
ResNet18,GradCAM,Flow,Deletion,0.9388317461125553,69,River,True
ResNet18,GradCAM,Flow,Deletion,0.9832170992158353,70,River,True
ResNet18,GradCAM,Flow,Deletion,0.9826219459064305,71,River,True
ResNet18,GradCAM,Flow,Deletion,0.9612014889717102,72,River,True
ResNet18,GradCAM,Flow,Deletion,0.954287217464298,73,River,True
ResNet18,GradCAM,Flow,Deletion,0.8903556950390339,74,River,True
ResNet18,GradCAM,Flow,Deletion,0.9720437391661108,75,River,True
ResNet18,GradCAM,Flow,Deletion,0.9306864296086133,76,River,True
ResNet18,GradCAM,Flow,Deletion,0.9230395727790892,77,River,True
ResNet18,GradCAM,Flow,Deletion,0.9315191535279155,78,River,True
ResNet18,GradCAM,Flow,Deletion,0.9879071144387126,79,River,True
ResNet18,GradCAM,Flow,Deletion,0.9868433345109224,80,River,True
ResNet18,GradCAM,Flow,Deletion,0.8967387098819017,81,River,True
ResNet18,GradCAM,Flow,Deletion,0.8416999718174338,82,River,True
ResNet18,GradCAM,Flow,Deletion,0.9181663249619305,83,River,True
ResNet18,GradCAM,Flow,Deletion,0.9307736535556614,84,River,True
ResNet18,GradCAM,Flow,Deletion,0.9185244319960475,85,River,True
ResNet18,GradCAM,Flow,Deletion,0.9748334749601781,86,River,True
ResNet18,GradCAM,Flow,Deletion,0.9294536453671753,87,River,True
ResNet18,GradCAM,Flow,Deletion,0.8410432850942016,88,River,True
ResNet18,GradCAM,Flow,Deletion,0.9948401576839387,89,River,True
ResNet18,GradCAM,Flow,Deletion,0.9580051549710333,90,River,True
ResNet18,GradCAM,Flow,Deletion,0.974810354411602,91,River,True
ResNet18,GradCAM,Flow,Deletion,0.988502727355808,92,River,True
ResNet18,GradCAM,Flow,Deletion,0.9646421647630632,93,River,True
ResNet18,GradCAM,Flow,Deletion,0.9804603052325547,94,River,True
ResNet18,GradCAM,Flow,Deletion,0.9564775228500366,95,River,True
ResNet18,GradCAM,Flow,Deletion,0.9684531968086958,96,River,True
ResNet18,GradCAM,Flow,Deletion,0.9356236765161157,97,River,True
ResNet18,GradCAM,Flow,Deletion,0.963042079936713,98,River,True
ResNet18,GradCAM,Flow,Deletion,0.9830451882444322,99,River,True
ResNet18,GradCAM,Flow,Deletion,0.9436523742042482,100,River,True
ResNet18,GradCAM,Flow,Deletion,0.960189463570714,101,River,True
ResNet18,GradCAM,Flow,Deletion,0.9612722084857523,102,River,True
ResNet18,GradCAM,Flow,Deletion,0.9279984030872583,103,River,True
ResNet18,GradCAM,Flow,Deletion,0.9633004618808627,104,River,True
ResNet18,GradCAM,Flow,Deletion,0.9633469898253679,105,River,True
ResNet18,GradCAM,Flow,Deletion,0.9465496609918773,106,River,True
ResNet18,GradCAM,Flow,Deletion,0.985434069763869,107,River,True
ResNet18,GradCAM,Flow,Deletion,0.8889566631987691,108,River,True
ResNet18,GradCAM,Flow,Deletion,0.8685491774231195,109,River,True
ResNet18,GradCAM,Flow,Deletion,0.9381795185618103,110,River,True
ResNet18,GradCAM,CCPL,Deletion,0.3118082388318726,1,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.7582614347338676,2,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.7575885062105954,3,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.3537438408075104,4,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.23543381813215092,5,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.14249453784989363,6,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.4468045060057193,7,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.44763826619600877,8,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.44111286115366966,9,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.5385460212128237,10,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.34324975236086175,11,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.5271985065191984,12,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.5840598948998377,13,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.2504004831716884,14,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.47021297505125403,15,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.42382977675879374,16,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.3060206325390027,17,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.28499619813601385,18,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.46145606800564565,19,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.5679358979687095,20,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.5261481212510262,21,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.3147405141280615,22,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.39395604107994586,23,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.49142805638257414,24,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.25229612662951695,25,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.33146075054537505,26,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.48257657981594093,27,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.1924497123400215,28,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.14751694040751318,29,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.29025379809900187,30,Highway,True
ResNet18,GradCAM,CCPL,Deletion,0.9252504133619368,31,River,True
ResNet18,GradCAM,CCPL,Deletion,0.8680867413058877,32,River,True
ResNet18,GradCAM,CCPL,Deletion,0.7917686500586569,33,River,True
ResNet18,GradCAM,CCPL,Deletion,0.8662465098313987,34,River,True
